Episode Number: 123, Episode Reward: -14.0, Running Mean: -14.900409057063186
Episode Number: 124, Episode Reward: -17.0, Running Mean: -14.921404966492554
Episode Number: 125, Episode Reward: -9.0, Running Mean: -14.862190916827629
Episode Number: 126, Episode Reward: -14.0, Running Mean: -14.853569007659353
Episode Number: 127, Episode Reward: -19.0, Running Mean: -14.895033317582758
Episode Number: 128, Episode Reward: -14.0, Running Mean: -14.886082984406931
Episode Number: 129, Episode Reward: -15.0, Running Mean: -14.887222154562862
Episode Number: 130, Episode Reward: -17.0, Running Mean: -14.908349933017233
Episode Number: 131, Episode Reward: -12.0, Running Mean: -14.879266433687059
Episode Number: 132, Episode Reward: -12.0, Running Mean: -14.850473769350188
Episode Number: 133, Episode Reward: -9.0, Running Mean: -14.791969031656686
Episode Number: 134, Episode Reward: -13.0, Running Mean: -14.77404934134012
Episode Number: 135, Episode Reward: -15.0, Running Mean: -14.77630884792672
Episode Number: 136, Episode Reward: -9.0, Running Mean: -14.718545759447451
Episode Number: 137, Episode Reward: -14.0, Running Mean: -14.711360301852977
Episode Number: 138, Episode Reward: -8.0, Running Mean: -14.644246698834447
Episode Number: 139, Episode Reward: -15.0, Running Mean: -14.647804231846102
Episode Number: 140, Episode Reward: -9.0, Running Mean: -14.59132618952764
Episode Number: 141, Episode Reward: -13.0, Running Mean: -14.575412927632364
Episode Number: 142, Episode Reward: -14.0, Running Mean: -14.569658798356041
Episode Number: 143, Episode Reward: -18.0, Running Mean: -14.603962210372481
Episode Number: 144, Episode Reward: -9.0, Running Mean: -14.547922588268756
Episode Number: 145, Episode Reward: -14.0, Running Mean: -14.542443362386068
Episode Number: 146, Episode Reward: -15.0, Running Mean: -14.547018928762208
Episode Number: 147, Episode Reward: -15.0, Running Mean: -14.551548739474587
Episode Number: 148, Episode Reward: -9.0, Running Mean: -14.49603325207984
Episode Number: 149, Episode Reward: -8.0, Running Mean: -14.431072919559043
Episode Number: 150, Episode Reward: -14.0, Running Mean: -14.426762190363453
Episode Number: 151, Episode Reward: -13.0, Running Mean: -14.412494568459818
Episode Number: 152, Episode Reward: -17.0, Running Mean: -14.43836962277522
Episode Number: 153, Episode Reward: -17.0, Running Mean: -14.463985926547467
Episode Number: 154, Episode Reward: -19.0, Running Mean: -14.509346067281992
Episode Number: 155, Episode Reward: -13.0, Running Mean: -14.494252606609173
Episode Number: 156, Episode Reward: -13.0, Running Mean: -14.479310080543081
Episode Number: 157, Episode Reward: -11.0, Running Mean: -14.44451697973765
Episode Number: 158, Episode Reward: -17.0, Running Mean: -14.470071809940272
Episode Number: 159, Episode Reward: -18.0, Running Mean: -14.50537109184087
Episode Number: 160, Episode Reward: -9.0, Running Mean: -14.45031738092246
Episode Number: 161, Episode Reward: -16.0, Running Mean: -14.465814207113235
Episode Number: 162, Episode Reward: -10.0, Running Mean: -14.421156065042101
Episode Number: 163, Episode Reward: -14.0, Running Mean: -14.416944504391681
Episode Number: 164, Episode Reward: -13.0, Running Mean: -14.402775059347766
Episode Number: 165, Episode Reward: -15.0, Running Mean: -14.408747308754288
Episode Number: 166, Episode Reward: -9.0, Running Mean: -14.354659835666745
Episode Number: 167, Episode Reward: -15.0, Running Mean: -14.361113237310077
Episode Number: 168, Episode Reward: -15.0, Running Mean: -14.367502104936976
Episode Number: 169, Episode Reward: -8.0, Running Mean: -14.303827083887606
Episode Number: 170, Episode Reward: -19.0, Running Mean: -14.35078881304873
Episode Number: 171, Episode Reward: -17.0, Running Mean: -14.377280924918242
Episode Number: 172, Episode Reward: -15.0, Running Mean: -14.383508115669061
Episode Number: 173, Episode Reward: -17.0, Running Mean: -14.40967303451237
Episode Number: 174, Episode Reward: -16.0, Running Mean: -14.425576304167246
Episode Number: 175, Episode Reward: -17.0, Running Mean: -14.451320541125574
Episode Number: 176, Episode Reward: -16.0, Running Mean: -14.466807335714318
Episode Number: 177, Episode Reward: -16.0, Running Mean: -14.482139262357174
Episode Number: 178, Episode Reward: -15.0, Running Mean: -14.487317869733603
Episode Number: 179, Episode Reward: -10.0, Running Mean: -14.442444691036266
Episode Number: 180, Episode Reward: -17.0, Running Mean: -14.468020244125904
Episode Number: 181, Episode Reward: -16.0, Running Mean: -14.483340041684645
Episode Number: 182, Episode Reward: -11.0, Running Mean: -14.448506641267798
Episode Number: 183, Episode Reward: -10.0, Running Mean: -14.40402157485512
Episode Number: 184, Episode Reward: -13.0, Running Mean: -14.389981359106569
Episode Number: 185, Episode Reward: -19.0, Running Mean: -14.436081545515503
Episode Number: 186, Episode Reward: -10.0, Running Mean: -14.391720730060348
Episode Number: 187, Episode Reward: -8.0, Running Mean: -14.327803522759744
Episode Number: 188, Episode Reward: -16.0, Running Mean: -14.344525487532147
Episode Number: 189, Episode Reward: -15.0, Running Mean: -14.351080232656825
Episode Number: 190, Episode Reward: -14.0, Running Mean: -14.347569430330257
Episode Number: 191, Episode Reward: -18.0, Running Mean: -14.384093736026953
Episode Number: 192, Episode Reward: -13.0, Running Mean: -14.370252798666684
Episode Number: 193, Episode Reward: -14.0, Running Mean: -14.366550270680017
Episode Number: 194, Episode Reward: -13.0, Running Mean: -14.352884767973217
Episode Number: 195, Episode Reward: -15.0, Running Mean: -14.359355920293485
Episode Number: 196, Episode Reward: -6.0, Running Mean: -14.27576236109055
Episode Number: 197, Episode Reward: -11.0, Running Mean: -14.243004737479643
Episode Number: 198, Episode Reward: -16.0, Running Mean: -14.260574690104846
Episode Number: 199, Episode Reward: -18.0, Running Mean: -14.297968943203797
Episode Number: 200, Episode Reward: -13.0, Running Mean: -14.284989253771759
Episode Number: 201, Episode Reward: -9.0, Running Mean: -14.23213936123404
Episode Number: 202, Episode Reward: -11.0, Running Mean: -14.1998179676217
Episode Number: 203, Episode Reward: -13.0, Running Mean: -14.187819787945482
Episode Number: 204, Episode Reward: -15.0, Running Mean: -14.195941590066028
Episode Number: 205, Episode Reward: -14.0, Running Mean: -14.193982174165368
Episode Number: 206, Episode Reward: -17.0, Running Mean: -14.222042352423715
Episode Number: 207, Episode Reward: -18.0, Running Mean: -14.259821928899477
Episode Number: 208, Episode Reward: -16.0, Running Mean: -14.277223709610482
Episode Number: 209, Episode Reward: -18.0, Running Mean: -14.314451472514376
Episode Number: 210, Episode Reward: -11.0, Running Mean: -14.281306957789232
Episode Number: 211, Episode Reward: -11.0, Running Mean: -14.248493888211339
Episode Number: 212, Episode Reward: -7.0, Running Mean: -14.176008949329226
Episode Number: 213, Episode Reward: -11.0, Running Mean: -14.144248859835933
Episode Number: 214, Episode Reward: -15.0, Running Mean: -14.152806371237574
Episode Number: 215, Episode Reward: -6.0, Running Mean: -14.0712783075252
Episode Number: 216, Episode Reward: -10.0, Running Mean: -14.030565524449948
Episode Number: 217, Episode Reward: -11.0, Running Mean: -14.000259869205447
Episode Number: 218, Episode Reward: -14.0, Running Mean: -14.000257270513393
Episode Number: 219, Episode Reward: -15.0, Running Mean: -14.010254697808259
Episode Number: 220, Episode Reward: -19.0, Running Mean: -14.060152150830175
Episode Number: 221, Episode Reward: -10.0, Running Mean: -14.019550629321873
Episode Number: 222, Episode Reward: -19.0, Running Mean: -14.069355123028654
Episode Number: 223, Episode Reward: -18.0, Running Mean: -14.108661571798367
Episode Number: 224, Episode Reward: -12.0, Running Mean: -14.087574956080381
Episode Number: 225, Episode Reward: -13.0, Running Mean: -14.076699206519578
Episode Number: 226, Episode Reward: -11.0, Running Mean: -14.045932214454382
Episode Number: 227, Episode Reward: -7.0, Running Mean: -13.975472892309838
Episode Number: 228, Episode Reward: -18.0, Running Mean: -14.01571816338674
Episode Number: 229, Episode Reward: -3.0, Running Mean: -13.905560981752872
Episode Number: 230, Episode Reward: -12.0, Running Mean: -13.886505371935343
Episode Number: 231, Episode Reward: -7.0, Running Mean: -13.81764031821599
Episode Number: 232, Episode Reward: -13.0, Running Mean: -13.809463915033831
Episode Number: 233, Episode Reward: -13.0, Running Mean: -13.801369275883493
Episode Number: 234, Episode Reward: -11.0, Running Mean: -13.773355583124658
Episode Number: 235, Episode Reward: -7.0, Running Mean: -13.705622027293412
Episode Number: 236, Episode Reward: -13.0, Running Mean: -13.69856580702048
Episode Number: 237, Episode Reward: -15.0, Running Mean: -13.711580148950274
Episode Number: 238, Episode Reward: -14.0, Running Mean: -13.714464347460773
Episode Number: 239, Episode Reward: -17.0, Running Mean: -13.747319703986165
Episode Number: 240, Episode Reward: -12.0, Running Mean: -13.729846506946302
Episode Number: 241, Episode Reward: -10.0, Running Mean: -13.692548041876838
Episode Number: 242, Episode Reward: -17.0, Running Mean: -13.72562256145807
Episode Number: 243, Episode Reward: -8.0, Running Mean: -13.66836633584349
Episode Number: 244, Episode Reward: -11.0, Running Mean: -13.641682672485056
Episode Number: 245, Episode Reward: -13.0, Running Mean: -13.635265845760205
Episode Number: 246, Episode Reward: -13.0, Running Mean: -13.628913187302604
Episode Number: 247, Episode Reward: -17.0, Running Mean: -13.662624055429578
Episode Number: 248, Episode Reward: -12.0, Running Mean: -13.645997814875281
Episode Number: 249, Episode Reward: -17.0, Running Mean: -13.679537836726528
Episode Number: 250, Episode Reward: -14.0, Running Mean: -13.682742458359263
Episode Number: 251, Episode Reward: -8.0, Running Mean: -13.62591503377567
Episode Number: 252, Episode Reward: -13.0, Running Mean: -13.619655883437913
Episode Number: 253, Episode Reward: -16.0, Running Mean: -13.643459324603533
Episode Number: 254, Episode Reward: -17.0, Running Mean: -13.677024731357498
Episode Number: 255, Episode Reward: -10.0, Running Mean: -13.640254484043924
Episode Number: 256, Episode Reward: -13.0, Running Mean: -13.633851939203485
Episode Number: 257, Episode Reward: -9.0, Running Mean: -13.587513419811449
Episode Number: 258, Episode Reward: -15.0, Running Mean: -13.601638285613335
Episode Number: 259, Episode Reward: -15.0, Running Mean: -13.615621902757201
Episode Number: 260, Episode Reward: -16.0, Running Mean: -13.639465683729629
Episode Number: 261, Episode Reward: -13.0, Running Mean: -13.633071026892333
Episode Number: 262, Episode Reward: -16.0, Running Mean: -13.65674031662341
Episode Number: 263, Episode Reward: -16.0, Running Mean: -13.680172913457175
Episode Number: 264, Episode Reward: -11.0, Running Mean: -13.653371184322603
Episode Number: 265, Episode Reward: -12.0, Running Mean: -13.636837472479376
Episode Number: 266, Episode Reward: -15.0, Running Mean: -13.650469097754582
Episode Number: 267, Episode Reward: -15.0, Running Mean: -13.663964406777037
Episode Number: 268, Episode Reward: -18.0, Running Mean: -13.707324762709266
Episode Number: 269, Episode Reward: -18.0, Running Mean: -13.750251515082173
Episode Number: 270, Episode Reward: -13.0, Running Mean: -13.742748999931353
Episode Number: 271, Episode Reward: -13.0, Running Mean: -13.73532150993204
Episode Number: 272, Episode Reward: -12.0, Running Mean: -13.717968294832719
Episode Number: 273, Episode Reward: -16.0, Running Mean: -13.740788611884392
Episode Number: 274, Episode Reward: -10.0, Running Mean: -13.703380725765548
Episode Number: 275, Episode Reward: -13.0, Running Mean: -13.696346918507894
Episode Number: 276, Episode Reward: -13.0, Running Mean: -13.689383449322815
Episode Number: 277, Episode Reward: -10.0, Running Mean: -13.652489614829586
Episode Number: 278, Episode Reward: -15.0, Running Mean: -13.66596471868129
Episode Number: 279, Episode Reward: -17.0, Running Mean: -13.699305071494477
Episode Number: 280, Episode Reward: -15.0, Running Mean: -13.712312020779532
Episode Number: 281, Episode Reward: -15.0, Running Mean: -13.725188900571737
Episode Number: 282, Episode Reward: -19.0, Running Mean: -13.777937011566019
Episode Number: 283, Episode Reward: -12.0, Running Mean: -13.760157641450357
Episode Number: 284, Episode Reward: -15.0, Running Mean: -13.772556065035854
Episode Number: 285, Episode Reward: -12.0, Running Mean: -13.754830504385495
Episode Number: 286, Episode Reward: -13.0, Running Mean: -13.74728219934164
Episode Number: 287, Episode Reward: -12.0, Running Mean: -13.729809377348223
Episode Number: 288, Episode Reward: -16.0, Running Mean: -13.75251128357474
Episode Number: 289, Episode Reward: -11.0, Running Mean: -13.724986170738992
Episode Number: 290, Episode Reward: -16.0, Running Mean: -13.747736309031602
Episode Number: 291, Episode Reward: -13.0, Running Mean: -13.740258945941287
Episode Number: 292, Episode Reward: -11.0, Running Mean: -13.712856356481874
Episode Number: 293, Episode Reward: -18.0, Running Mean: -13.755727792917055
Episode Number: 294, Episode Reward: -12.0, Running Mean: -13.738170514987884
Episode Number: 295, Episode Reward: -11.0, Running Mean: -13.710788809838004
Episode Number: 296, Episode Reward: -14.0, Running Mean: -13.713680921739623
Episode Number: 297, Episode Reward: -14.0, Running Mean: -13.716544112522227
Episode Number: 298, Episode Reward: -15.0, Running Mean: -13.729378671397004
Episode Number: 299, Episode Reward: -14.0, Running Mean: -13.732084884683035
Episode Number: 300, Episode Reward: -15.0, Running Mean: -13.744764035836205
Episode Number: 301, Episode Reward: -14.0, Running Mean: -13.747316395477844
Episode Number: 302, Episode Reward: -13.0, Running Mean: -13.739843231523066
Episode Number: 303, Episode Reward: -12.0, Running Mean: -13.722444799207835
Episode Number: 304, Episode Reward: -13.0, Running Mean: -13.715220351215757
Episode Number: 305, Episode Reward: -14.0, Running Mean: -13.718068147703601
Episode Number: 306, Episode Reward: -9.0, Running Mean: -13.670887466226565
Episode Number: 307, Episode Reward: -13.0, Running Mean: -13.664178591564301
Episode Number: 308, Episode Reward: -13.0, Running Mean: -13.65753680564866
Episode Number: 309, Episode Reward: -13.0, Running Mean: -13.650961437592173
Episode Number: 310, Episode Reward: -11.0, Running Mean: -13.624451823216251
Episode Number: 311, Episode Reward: -13.0, Running Mean: -13.61820730498409
Episode Number: 312, Episode Reward: -8.0, Running Mean: -13.562025231934248
Episode Number: 313, Episode Reward: -15.0, Running Mean: -13.576404979614907
Episode Number: 314, Episode Reward: -8.0, Running Mean: -13.520640929818757
Episode Number: 315, Episode Reward: -15.0, Running Mean: -13.53543452052057
Episode Number: 316, Episode Reward: -14.0, Running Mean: -13.540080175315364
Episode Number: 317, Episode Reward: -13.0, Running Mean: -13.534679373562211
Episode Number: 318, Episode Reward: -16.0, Running Mean: -13.55933257982659
Episode Number: 319, Episode Reward: -15.0, Running Mean: -13.573739254028323
Episode Number: 320, Episode Reward: -8.0, Running Mean: -13.51800186148804
Episode Number: 321, Episode Reward: -9.0, Running Mean: -13.47282184287316
Episode Number: 322, Episode Reward: -14.0, Running Mean: -13.478093624444428
Episode Number: 323, Episode Reward: -16.0, Running Mean: -13.503312688199983
Episode Number: 324, Episode Reward: -14.0, Running Mean: -13.508279561317984
Episode Number: 325, Episode Reward: -16.0, Running Mean: -13.533196765704805
